username,comment,comment_cleansing
@suprayektiprawirosudarmo5056,"['oknum', 'korupsi', 'kembali', 'uang', 'rakyat', 'beli', 'bahan', 'bakar', 'oplos', 'minimal', 'milik', 'mobil', 'motor', 'ganti', 'rugi', 'oknum', 'jabat', 'gaji', 'besar', 'korupsi', 'kaya', 'mohon', 'negara', 'sri', 'mulyani', 'lapor', 'uang', 'korupsi', 'kembali', 'negara', 'miskin', 'bayar', 'hutang', 'negara']",oknum korupsi kembali uang rakyat beli bahan bakar oplos minimal milik mobil motor ganti rugi oknum jabat gaji besar korupsi kaya mohon negara sri mulyani lapor uang korupsi kembali negara miskin bayar hutang negara
@RiniHandayani-b6r,"['cocok', 'hukum', 'mati', 'korut', 'china', 'hilang', 'nyawa', 'orang', 'penggal']",cocok hukum mati korut china hilang nyawa orang penggal
@WidodoTomen,"['perintah', 'koruptor', 'dihumum', 'mati', 'koruptor']",perintah koruptor dihumum mati koruptor
@Se_sport,"['pukun', 'koruptor', 'patah', 'tangan']",pukun koruptor patah tangan
@kamaludin7020,"['bakar', 'hidup', 'saksi', 'rakyat']",bakar hidup saksi rakyat
@Menarachanel,"['hancur', 'negara']",hancur negara
@retnoandianingrum8358,"['sebut', 'nama', 'pakai', 'inisial', 'sebutin', 'nama', 'lengkap', 'biar', 'malu', 'umur', 'hidup', 'anak', 'istri', 'bapak', 'negara', 'rugi', 'langsung', 'loh', 'rakyat', 'cukk']",sebut nama pakai inisial sebutin nama lengkap biar malu umur hidup anak istri bapak negara rugi langsung loh rakyat cukk
@suratmi5092,"['terap', 'hukum', 'mati', 'koruptor', 'negara', 'hancur', 'kasihan', 'anak', 'cucu']",terap hukum mati koruptor negara hancur kasihan anak cucu
@siiiblack962,"['konyol', 'tahu', 'puas', 'deh', 'tuh', 'hura', 'pakai', 'duit', 'panas']",konyol tahu puas deh tuh hura pakai duit panas
@marliyah6310,"['hukum', 'mati', 'umur', 'hidup']",hukum mati umur hidup
@abengmadiasta6766,"['wajib', 'hukum', 'mati', 'maling']",wajib hukum mati maling
@kacuksuyanto4499,"['hukum', 'mati', 'rugi', 'masyarakat', 'indonesia']",hukum mati rugi masyarakat indonesia
@krisnowahyudi4208,"['rugi', 'negara', 'rakyat', 'beli', 'pertamax', 'enggak', 'rugi', 'rugi', 'rakyat']",rugi negara rakyat beli pertamax enggak rugi rugi rakyat
@johaneschenlie2904,"['negara', 'hancur', 'karena', 'bangsa', 'watak', 'koruptor', 'cinta', 'negara', 'rakyat', 'miskin']",negara hancur karena bangsa watak koruptor cinta negara rakyat miskin
@johaneschenlie2904,"['indonesia', 'emas', 'koruptor', 'hancur', 'rakyat']",indonesia emas koruptor hancur rakyat
@mhyaNav,"['pandai', 'pandai', 'tupai', 'lompat', 'jatuh', 'pandai', 'pandai', 'sembunyi', 'bangkai', 'cium']",pandai pandai tupai lompat jatuh pandai pandai sembunyi bangkai cium
@nonom77,"['hukum', 'mati', 'tuju']",hukum mati tuju
@HendraWawan-j3g,"['shrus', 'dpr', 'mgesahkan', 'undang', 'rampas', 'aset', 'hkuman', 'mati', 'negeri', 'hncur', 'jabat', 'korop']",shrus dpr mgesahkan undang rampas aset hkuman mati negeri hncur jabat korop
@Tolee-q1o,['tembak'],tembak
@happyhappy-pn6hy,"['enggak', 'mati', 'qja', 'koruptor', 'tuhan']",enggak mati qja koruptor tuhan
@Sutiah-r5p,"['agama', 'bilang', 'islam', 'makan', 'babi', 'bilang', 'haram', 'uang', 'korupsi', 'bilang', 'halal', 'orang', 'indonesia', 'islam', 'formalitas', 'kayak', 'ktp']",agama bilang islam makan babi bilang haram uang korupsi bilang halal orang indonesia islam formalitas kayak ktp
@berotoza-nu3db,"['tangkap', 'hukum', 'mati']",tangkap hukum mati
@nurindraramadhani4803,"['hukum', 'mati', 'i', 'miskinkann', 'hubung', 'curi', 'uang', 'rakyat']",hukum mati i miskinkann hubung curi uang rakyat
@berotoza-nu3db,"['sita', 'asett', 'miskin']",sita asett miskin
@brantakanproject,"['negara', 'rugi', 'buka', 'masyarakat', 'rugi']",negara rugi buka masyarakat rugi
@satriyaagungwicaksana9015,"['wajib', 'kill', 'mental', 'korup', 'bahaya', 'negara']",wajib kill mental korup bahaya negara
@JuniorFK23,"['moga', 'azab', 'pedih', 'pedih', 'amin']",moga azab pedih pedih amin
@hozie-fz1ck,"['manusia', 'pakai', 'rompi', 'tangan', 'borgo', 'salah', 'satul', 'manusia', 'serakah', 'dunia']",manusia pakai rompi tangan borgo salah satul manusia serakah dunia
@HamDan-ie6rk,"['hukum', 'pancung', 'krpr']",hukum pancung krpr
@Aira87333,"['allah', 'jabat', 'negeri', 'ku', 'koropsi', 'hidayah', 'allah']",allah jabat negeri ku koropsi hidayah allah
@SupraptiSuprapti-g6u,"['orang', 'kasih', 'rejeki', 'koropsi', 'nama', 'orang', 'serakah', 'tamak', 'garta', 'tumpuk', 'senang', 'keluarga', 'anak', 'istrivdi', 'kasih', 'makan', 'pakai', 'uang', 'koropsi', 'gaji', 'juta', 'enggak', 'hidup', 'enggak', 'syukur', 'mangkanta', 'jalan', 'lihat', 'lihat', 'dongak', 'hai', 'bapak', 'koropsi', 'makan', 'uang', 'halal', 'biar', 'berkah', 'kehidupanya', 'keluarga']",orang kasih rejeki koropsi nama orang serakah tamak garta tumpuk senang keluarga anak istrivdi kasih makan pakai uang koropsi gaji juta enggak hidup enggak syukur mangkanta jalan lihat lihat dongak hai bapak koropsi makan uang halal biar berkah kehidupanya keluarga
@heriasma4448,"['habis', 'buas', 'mu', 'laku', 'iblis', 'rancang', 'pura', 'srigala', 'bulu', 'domba', 'ngenas', 'gembel', 'miskin', 'mati']",habis buas mu laku iblis rancang pura srigala bulu domba ngenas gembel miskin mati
@andrinopendri5490,"['rugi', 'masyarakat', 'negara']",rugi masyarakat negara
@andrinopendri5490,"['wajar', 'masyarakat', 'indonesia', 'enggak', 'kayak', 'kalo', 'atas', 'suka', 'korupsi', 'hukum', 'berat', 'berat']",wajar masyarakat indonesia enggak kayak kalo atas suka korupsi hukum berat berat
@ImamMahdi-e2r,"['tri', 'bumn', 'wajib', 'tanggung', 'pura']",tri bumn wajib tanggung pura
@bmx_rahma6825,"['hukum', 'mati', 'koruptor']",hukum mati koruptor
@Uturn_Boy,"['warga', 'indonesia', 'tuju', 'sangka', 'suruh', 'minum', 'gelas', 'oplos', 'pertamax']",warga indonesia tuju sangka suruh minum gelas oplos pertamax
@Ociii3030,"['hukum', 'hukum', 'pasilitas', 'mewah', 'pejar']",hukum hukum pasilitas mewah pejar
@Duatitik18,"['koruptor', 'hukum', 'mati', 'masyarakat', 'indonesia', 'tuju']",koruptor hukum mati masyarakat indonesia tuju
@MJRitaSinambela,"['tembak', 'mati', 'enggak', 'duit', 'gede', 'kayak', 'maling', 'ayam']",tembak mati enggak duit gede kayak maling ayam
@hanyons9555,"['negeri', 'bedebah']",negeri bedebah
@sapariagus636,"['takut', 'gas', 'elpiji', 'oplos', 'kentut', 'awas', 'pertamina']",takut gas elpiji oplos kentut awas pertamina
@Belajarbersamamomo,"['rompi', 'pasang', 'udha', 'sangka', 'istimewa']",rompi pasang udha sangka istimewa
@MuhammadFithraji-ey6my,"['gaji', 'gede', 'serakah', 'keg', 'firaun', 'bro', 'lu', 'kejar', 'dunia']",gaji gede serakah keg firaun bro lu kejar dunia
@prijanto2083,"['enggak', 'i', 'curi', 'ayam']",enggak i curi ayam
@sournsweetsss,"['enggak bisa', 'bikin', 'hukum', 'mati', 'negara', 'padahaal', 'rugi', 'negara', 'masyarakat', 'remisi', 'angka', 'tahan', 'suka', 'heran']",enggak bisa bikin hukum mati negara padahaal rugi negara masyarakat remisi angka tahan suka heran
@SuryadiYadi-o7p,"['kayak', 'raya', 'pegawai', 'pertamina']",kayak raya pegawai pertamina
@wiwiekhariyati8592,"['doa', 'moga', 'koruptor', 'cepat', 'kena', 'azab']",doa moga koruptor cepat kena azab
@reksimacicu6991,"['negara', 'koruptor', 'rengking', 'rengkinya', 'hadiah', 'kepala', 'negara', 'kepala', 'negara', 'sangup', 'tangan', 'korupsi']",negara koruptor rengking rengkinya hadiah kepala negara kepala negara sangup tangan korupsi
@Linking88,"['tenang', 'dijatuhij', 'hukum', 'denda', 'juta']",tenang dijatuhij hukum denda juta
@fadzabola3225,"['untung', 'hidup', 'cina']",untung hidup cina
@fadzabola3225,"['bravo', 'jaksa', 'ri']",bravo jaksa ri
@AliBasah-j9j,"['hukum', 'mati', 'rampas', 'aset']",hukum mati rampas aset
@JengMin,"['misi', 'jajah', 'zmn', 'milik', 'kaya', 'alam', 'bumi', 'pertiwi', 'jabat', 'enggak', 'korupsi', 'anak', 'bangsa', 'ajar', 'sekolah', 'geratis', 'lapang', 'kerja', 'bahan', 'pangan', 'tani', 'makmur', 'wujud', 'istilah', 'gemah', 'ripah', 'loh', 'jawi', 'rakyat', 'kcl', 'susah', 'serba', 'mahal', 'akal', 'bulus', 'koruptor', 'hukum', 'tegak', 'efek', 'jera', 'koruptor', 'perintah', 'berani', 'jatuh', 'hukum', 'mati', 'koruptor']",misi jajah zmn milik kaya alam bumi pertiwi jabat enggak korupsi anak bangsa ajar sekolah gerat lapang kerja bahan pangan tani makmur wujud istilah gemah ripah loh jawi rakyat kcl susah serba mahal akal bulus koruptor hukum tegak efek jera koruptor perintah berani jatuh hukum mati koruptor
@deflondef103,"['hukum', 'mati']",hukum mati
@buburkacang6441,"['uud', 'dpr', 'sekrg', 'pakae', 'hukum', 'harta', 'utuh', 'negara', 'jabat', 'hobi', 'korupsi', 'rakyat', 'ujung', 'korban']",uud dpr sekrg pakae hukum harta utuh negara jabat hobi korupsi rakyat ujung korban
@RasmanLubis,"['hukum', 'mati', 'bersyrat']",hukum mati bersyrat
@mocharif376,"['koruptor', 'hancur', 'tingkat', 'ekonomi', 'negara', 'indonesia', 'negara', 'maju']",koruptor hancur tingkat ekonomi negara indonesia negara maju
@ironiron33,"['sopan', 'pakai', 'masker']",sopan pakai masker
@ImamMujahidin-tx5iz,"['gatel', 'tangan', 'tampar', 'muka']",gatel tangan tampar muka
@veriagustinus2216,"['orang', 'kaya', 'hukum', 'berkelakuan', 'potong', 'remisi', 'cuihh', 'hukum', 'indonesia', 'enggak', 'ubah', 'hukum', 'lembek']",orang kaya hukum laku potong remisi cuihh hukum indonesia enggak ubah hukum lembek
@Faturrohman-u4x,"['dasar', 'monyet']",dasar monyet
@eninuraeni1216,"['kwalitas', 'gas', 'periksa', 'oknum', 'suka', 'ngurangin', 'isi', 'gas']",kwalitas gas periksa oknum suka ngurangin isi gas
